,one,two,three,four,five,six,seven,eight,nine,label
3,AAR2_YEAST,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,Positive
7,BAF1_YEAST,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,Positive
10,ACE1_YEAST,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,Positive
11,ACE2_YEAST,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,Positive
17,ACT3_YEAST,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,Positive
18,ACT5_YEAST,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22,Positive
19,ADA2_YEAST,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,Positive
30,ADR1_YEAST,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,Positive
33,RCS1_YEAST,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,Positive
40,ALG1_YEAST,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,Positive
41,ALG5_YEAST,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,Positive
42,GPT_YEAST,0.79,0.57,0.41,0.28,0.5,0.0,0.59,0.22,Positive
43,ALG8_YEAST,0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,Positive
44,MAN1_YEAST,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,negative
45,ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,Positive
46,ANP1_YEAST,0.74,0.75,0.58,0.47,0.5,0.0,0.4,0.35,Positive
48,APE3_YEAST,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,negative
49,ALP1_YEAST,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,Positive
51,YHB9_YEAST,0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,Positive
52,APN1_YEAST,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,Positive
61,ARG1_YEAST,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,Positive
62,ARG2_YEAST,0.48,0.43,0.51,0.32,0.5,0.0,0.52,0.43,Positive
63,ARG3_YEAST,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,Positive
85,ATR1_YEAST,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,Positive
86,YBR8_YEAST,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,Positive
88,BAS1_YEAST,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,Positive
93,BDF1_YEAST,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,Positive
95,BET1_YEAST,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,Positive
100,BOS1_YEAST,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,Positive
101,BSD2_YEAST,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,Positive
103,CAD1_YEAST,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,Positive
105,CAN1_YEAST,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,Positive
110,CACP_YEAST,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,Positive
111,CAT8_YEAST,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,Positive
112,CBF1_YEAST,0.3,0.32,0.57,0.19,0.5,0.0,0.48,0.55,Positive
113,CB32_YEAST,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,Positive
114,CBF5_YEAST,0.45,0.51,0.5,0.16,0.5,0.0,0.52,1.0,Positive
124,ATU1_YEAST,0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,Positive
126,CCL1_YEAST,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,Positive
128,CCR4_YEAST,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,Positive
133,CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,Positive
134,CC23_YEAST,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,Positive
136,CC25_YEAST,0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,Positive
137,CC27_YEAST,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,Positive
139,CC31_YEAST,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,Positive
141,UBC3_YEAST,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,Positive
142,NOT2_YEAST,0.64,0.6,0.57,0.19,0.5,0.0,0.43,0.22,Positive
143,NOT1_YEAST,0.37,0.46,0.4,0.27,0.5,0.0,0.45,0.22,Positive
145,CC40_YEAST,0.28,0.37,0.61,0.09,0.5,0.0,0.52,0.55,Positive
148,RFC1_YEAST,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,Positive
149,CC46_YEAST,0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,Positive
150,YB52_YEAST,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,Positive
152,CC6_YEAST,0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,Positive
154,CC68_YEAST,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,Positive
155,CC7_YEAST,0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,Positive
157,DNLI_YEAST,0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,Positive
158,MCE1_YEAST,0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,Positive
163,CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,Positive
164,CHL4_YEAST,0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,Positive
165,PSS_YEAST,0.35,0.45,0.43,0.11,0.5,0.0,0.56,0.22,Positive
166,PEM1_YEAST,0.42,0.42,0.42,0.2,0.5,0.0,0.49,0.22,Positive
167,CHS1_YEAST,0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,Positive
168,CHS2_YEAST,0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,Positive
169,CHS3_YEAST,0.26,0.44,0.3,0.11,0.5,0.0,0.51,0.47,Positive
170,CIK1_YEAST,0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,Positive
175,CISZ_YEAST,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,Positive
176,KC21_YEAST,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,Positive
177,KC22_YEAST,0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,Positive
178,KC2C_YEAST,0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,Positive
220,CBPS_YEAST,0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,negative
221,CPT1_YEAST,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,Positive
222,CRM1_YEAST,0.56,0.52,0.48,0.17,0.5,0.0,0.46,0.22,Positive
225,CSE1_YEAST,0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,Positive
226,CSE2_YEAST,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,Positive
227,YKE9_YEAST,0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,Positive
228,CSG2_YEAST,0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,Positive
229,CATA_YEAST,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,Positive
230,CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,Positive
231,CTK1_YEAST,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,Positive
232,CTR1_YEAST,0.36,0.37,0.33,0.14,0.5,0.0,0.57,0.31,Positive
248,DAL4_YEAST,0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,Positive
249,DAL5_YEAST,0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,Positive
250,MASZ_YEAST,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,Positive
251,DA80_YEAST,0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,Positive
252,DA81_YEAST,0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,Positive
253,DA82_YEAST,0.56,0.43,0.54,0.16,0.5,0.0,0.5,0.22,Positive
254,DAP2_YEAST,0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,negative
255,DATI_YEAST,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,Positive
256,DBF4_YEAST,0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,Positive
257,DBP1_YEAST,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,Positive
258,DBP2_YEAST,0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,Positive
259,DBR1_YEAST,0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,Positive
260,DED1_YEAST,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,Positive
263,DYHC_YEAST,0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,Positive
264,DHH1_YEAST,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,Positive
266,DMC1_YEAST,0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,Positive
267,DPB2_YEAST,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,Positive
268,DPB3_YEAST,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,Positive
269,DPM1_YEAST,0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,Positive
271,DRS1_YEAST,0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,Positive
272,ATC4_YEAST,0.51,0.55,0.35,0.16,0.5,0.0,0.51,0.47,Positive
274,TFS2_YEAST,0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,Positive
275,DUN1_YEAST,0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,Positive
276,DUR3_YEAST,0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,Positive
279,EGD1_YEAST,0.35,0.39,0.57,0.11,0.5,0.0,0.48,0.22,Positive
280,ATN2_YEAST,0.36,0.49,0.3,0.22,0.5,0.0,0.52,0.31,Positive
285,EPT1_YEAST,0.29,0.43,0.4,0.15,0.5,0.0,0.53,0.22,Positive
